用户ID,订单日期,所在城市,商品类别,订单金额,购买数量,支付方式,用户评分
U000059,2024-07-04,北京,食品生鲜,782.82,3,支付宝,4.0
U000060,2024-10-22,深圳,美妆护肤,943.89,1,银行卡,3.0
U000061,2024-04-08,上海,美妆护肤,580.21,5,支付宝,4.0
U000062,2024-12-26,重庆,食品生鲜,653.59,4,银行卡,2.0
U000063,2024-02-05,广州,食品生鲜,423.42,8,现金,4.0
U000064,2024-01-24,成都,服装鞋帽,400.95,1,支付宝,1.0
U000065,2024-12-04,重庆,电子产品,903.13,1,银行卡,2.0
U000066,2024-04-26,上海,电子产品,1039.06,4,微信支付,3.0
U000067,2024-05-28,杭州,食品生鲜,682.0,8,微信支付,1.0
U000068,2024-02-10,广州,食品生鲜,950.88,5,支付宝,2.0
U000069,2024-04-29,上海,家居用品,790.41,2,微信支付,3.0
U000070,2024-02-21,北京,食品生鲜,538.72,6,微信支付,1.0
U000071,2024-07-13,成都,家居用品,790.35,5,现金,1.0
U000072,2024-05-22,广州,电子产品,1084.51,2,银行卡,2.0
U000073,2024-08-20,深圳,电子产品,691.04,3,现金,5.0
U000074,2024-11-21,杭州,服装鞋帽,1091.16,9,支付宝,1.0
U000075,2024-07-05,成都,电子产品,45.06,7,现金,1.0
U000076,2024-03-24,广州,家居用品,905.48,7,支付宝,3.0
U000077,2024-07-08,北京,美妆护肤,721.76,6,支付宝,4.0
U000078,2024-06-30,重庆,美妆护肤,625.25,8,微信支付,2.0
U000079,2024-04-17,上海,电子产品,722.94,4,微信支付,2.0
U000080,2024-12-09,杭州,美妆护肤,203.11,8,银行卡,5.0
U000081,2024-05-16,重庆,食品生鲜,645.08,4,微信支付,5.0
U000082,2024-12-25,北京,电子产品,789.28,8,支付宝,2.0
U000083,2024-12-15,杭州,食品生鲜,1069.47,9,银行卡,5.0
U000084,2024-11-27,广州,家居用品,570.43,3,微信支付,3.0
U000085,2024-02-06,成都,食品生鲜,497.88,3,支付宝,2.0
U000086,2024-11-07,深圳,食品生鲜,574.56,2,银行卡,
U000087,2024-11-21,重庆,电子产品,928.85,3,银行卡,2.0
U000088,2024-03-28,北京,服装鞋帽,782.19,3,银行卡,4.0
U000089,2024-09-30,重庆,电子产品,567.56,5,微信支付,1.0
U000090,2024-05-05,上海,服装鞋帽,828.32,5,支付宝,2.0
U000091,2024-03-24,北京,美妆护肤,724.27,2,现金,1.0
U000092,2024-08-24,深圳,食品生鲜,942.16,6,支付宝,5.0
U000093,2024-07-13,深圳,电子产品,524.49,5,支付宝,
U000094,2024-05-18,成都,家居用品,618.08,6,现金,2.0
U000095,2024-11-23,杭州,家居用品,601.97,1,现金,4.0
U000096,2024-12-18,重庆,家居用品,334.12,5,现金,5.0
U000097,2024-10-12,成都,服装鞋帽,774.03,9,微信支付,2.0
U000098,2024-04-22,上海,电子产品,765.26,2,支付宝,5.0
U000099,2024-12-16,深圳,食品生鲜,701.28,1,微信支付,3.0
U000100,2024-06-15,重庆,服装鞋帽,641.35,9,微信支付,1.0
U000101,2024-01-29,重庆,美妆护肤,346.16,9,支付宝,3.0
U000102,2024-04-27,杭州,电子产品,594.84,9,银行卡,2.0
U000103,2024-01-17,杭州,美妆护肤,614.32,6,支付宝,4.0
U000104,2024-06-10,北京,家居用品,499.43,8,银行卡,5.0
U000105,2024-07-24,重庆,电子产品,659.68,1,银行卡,1.0
U000106,2024-05-17,深圳,美妆护肤,801.01,4,微信支付,5.0
U000107,2024-02-03,杭州,服装鞋帽,1171.55,1,微信支付,2.0
U000108,2024-04-18,广州,家居用品,743.64,8,银行卡,5.0
U000109,2024-10-17,杭州,食品生鲜,764.39,1,微信支付,1.0
U000110,2024-06-10,深圳,食品生鲜,681.39,3,微信支付,2.0
U000111,2024-04-18,上海,食品生鲜,220.31,4,支付宝,5.0
U000112,2024-12-01,杭州,食品生鲜,693.37,8,微信支付,4.0
U000113,2024-09-12,广州,电子产品,715.06,6,微信支付,2.0
U000114,2024-07-21,成都,电子产品,1315.81,7,微信支付,2.0
U000115,2024-11-25,上海,食品生鲜,651.91,8,银行卡,4.0
U000116,2024-08-22,深圳,家居用品,775.39,2,微信支付,3.0
U000117,2024-03-14,广州,电子产品,691.32,8,微信支付,1.0
U000118,2024-05-15,成都,电子产品,407.83,3,现金,3.0
U000119,2024-03-12,广州,家居用品,985.71,7,支付宝,5.0
U000120,2024-05-06,上海,美妆护肤,887.98,3,现金,4.0
U000121,2024-10-14,成都,服装鞋帽,897.76,7,微信支付,3.0
U000122,2024-10-02,杭州,家居用品,472.65,2,银行卡,2.0
U000123,2024-05-14,广州,服装鞋帽,1050.7,6,微信支付,5.0
U000124,2024-10-26,深圳,电子产品,349.54,3,微信支付,5.0
U000125,2024-08-07,杭州,家居用品,846.71,3,支付宝,3.0
U000126,2024-10-25,深圳,美妆护肤,1247.61,9,微信支付,3.0
U000127,2024-07-23,成都,食品生鲜,452.37,7,微信支付,4.0
U000128,2024-07-04,重庆,家居用品,558.43,5,支付宝,1.0
U000129,2024-04-22,成都,美妆护肤,724.91,7,现金,3.0
U000130,2024-03-11,杭州,食品生鲜,574.13,9,银行卡,3.0
U000131,2024-09-17,上海,食品生鲜,312.33,1,支付宝,2.0
U000132,2024-09-09,杭州,服装鞋帽,717.14,7,现金,5.0
U000133,2024-02-16,杭州,家居用品,434.42,6,支付宝,1.0
U000134,2024-01-25,北京,服装鞋帽,818.4,9,银行卡,2.0
U000135,2024-02-26,重庆,美妆护肤,470.14,1,银行卡,4.0
U000136,2024-03-19,上海,美妆护肤,1087.48,4,支付宝,4.0
U000137,2024-11-17,广州,美妆护肤,504.19,9,现金,3.0
U000138,2024-03-22,成都,服装鞋帽,619.48,4,微信支付,3.0
U000139,2024-12-14,上海,服装鞋帽,903.38,3,现金,4.0
U000140,2024-08-04,北京,美妆护肤,392.28,9,银行卡,3.0
U000141,2024-11-01,重庆,食品生鲜,756.86,2,支付宝,1.0
U000142,2024-02-02,杭州,服装鞋帽,1026.79,4,支付宝,3.0
U000143,2024-07-16,成都,食品生鲜,298.13,6,微信支付,5.0
U000144,2024-07-14,深圳,美妆护肤,746.16,2,支付宝,3.0
U000145,2024-11-01,重庆,服装鞋帽,764.97,8,支付宝,2.0
U000146,2024-08-27,杭州,美妆护肤,895.46,8,现金,1.0
U000147,2024-09-27,成都,家居用品,390.76,1,支付宝,2.0
U000148,2024-05-08,广州,家居用品,369.89,3,现金,2.0
U000149,2024-10-10,广州,电子产品,830.49,9,银行卡,5.0
U000150,2024-01-06,上海,美妆护肤,774.25,5,微信支付,1.0
U000151,2024-12-14,杭州,电子产品,762.62,6,银行卡,
U000152,2024-02-28,重庆,美妆护肤,786.61,4,银行卡,
U000153,2024-12-15,重庆,服装鞋帽,529.99,2,银行卡,1.0
U000154,2024-10-01,重庆,电子产品,758.06,8,现金,1.0
U000155,2024-05-16,成都,美妆护肤,773.27,6,银行卡,5.0
U000156,2024-11-24,上海,电子产品,521.41,5,现金,3.0
U000157,2024-06-23,成都,美妆护肤,1166.44,9,微信支付,
U000158,2024-02-27,杭州,电子产品,818.46,1,现金,1.0
U000159,2024-05-30,深圳,电子产品,402.17,5,微信支付,3.0
U000160,2024-08-10,深圳,美妆护肤,864.14,6,微信支付,3.0
U000161,2024-03-21,重庆,美妆护肤,456.33,5,微信支付,2.0
U000162,2024-08-20,北京,电子产品,896.77,6,银行卡,5.0
U000163,2024-01-02,北京,家居用品,989.65,6,现金,4.0
U000164,2024-05-14,深圳,服装鞋帽,494.83,7,银行卡,4.0
U000165,2024-09-13,深圳,家居用品,940.84,4,微信支付,
U000166,2024-04-01,深圳,服装鞋帽,803.2,8,支付宝,2.0
U000167,2024-09-16,广州,电子产品,905.52,7,微信支付,4.0
U000168,2024-02-24,成都,服装鞋帽,1174.2,9,支付宝,
U000169,2024-11-16,深圳,家居用品,638.65,7,微信支付,5.0
U000170,2024-06-01,成都,食品生鲜,511.57,3,微信支付,4.0
U000171,2024-11-23,重庆,美妆护肤,477.62,3,银行卡,3.0
U000172,2024-09-16,广州,家居用品,496.05,8,现金,3.0
U000173,2024-11-07,重庆,美妆护肤,680.72,5,支付宝,1.0
U000174,2024-04-11,深圳,食品生鲜,785.29,4,银行卡,5.0
U000175,2024-03-19,上海,食品生鲜,769.17,8,微信支付,1.0
U000176,2024-07-10,重庆,家居用品,906.8,6,银行卡,2.0
U000177,2024-03-23,深圳,服装鞋帽,703.25,2,现金,1.0
U000178,2024-10-03,成都,家居用品,1063.38,4,银行卡,1.0
U000179,2024-09-28,成都,服装鞋帽,633.84,4,支付宝,4.0
U000180,2024-01-01,上海,服装鞋帽,1380.04,6,现金,
U000181,2024-11-02,成都,电子产品,856.42,6,银行卡,5.0
U000182,2024-06-14,深圳,美妆护肤,485.71,1,支付宝,1.0
U000183,2024-09-07,上海,家居用品,432.28,8,银行卡,5.0
U000184,2024-01-10,深圳,家居用品,820.62,6,银行卡,1.0
U000185,2024-02-27,杭州,电子产品,644.13,3,现金,2.0
U000186,2024-07-04,上海,电子产品,878.5,9,微信支付,1.0
U000187,2024-06-06,广州,服装鞋帽,818.31,2,现金,4.0
U000188,2024-05-02,重庆,电子产品,681.79,8,现金,3.0
U000189,2024-01-30,北京,服装鞋帽,488.3,3,现金,2.0
U000190,2024-05-03,上海,电子产品,321.29,5,支付宝,1.0
U000191,2024-10-17,广州,服装鞋帽,588.37,6,银行卡,5.0
U000192,2024-02-10,上海,食品生鲜,914.1,6,支付宝,2.0
U000193,2024-02-13,上海,服装鞋帽,753.52,4,银行卡,2.0
U000194,2024-09-05,广州,食品生鲜,388.57,3,现金,1.0
U000195,2024-02-05,广州,家居用品,743.3,4,银行卡,2.0
U000196,2024-09-29,深圳,电子产品,796.33,1,银行卡,5.0
U000197,2024-03-05,北京,电子产品,479.04,4,微信支付,2.0
U000198,2024-03-06,成都,家居用品,738.43,1,现金,5.0
U000199,2024-12-03,广州,服装鞋帽,714.55,1,微信支付,1.0
U000200,2024-08-31,成都,家居用品,414.26,6,现金,3.0
U000201,2024-10-08,重庆,食品生鲜,789.45,5,银行卡,2.0
U000202,2024-03-25,北京,食品生鲜,840.2,4,支付宝,3.0
U000203,2024-05-15,重庆,服装鞋帽,970.76,3,银行卡,5.0
U000204,2024-09-27,杭州,家居用品,963.45,1,微信支付,2.0
U000205,2024-11-06,深圳,食品生鲜,355.58,6,微信支付,4.0
U000206,2024-08-04,重庆,家居用品,465.54,2,银行卡,3.0
U000207,2024-04-18,广州,美妆护肤,828.76,8,微信支付,2.0
U000208,2024-10-03,广州,食品生鲜,828.45,5,微信支付,3.0
U000209,2024-12-19,重庆,服装鞋帽,828.76,7,现金,2.0
U000210,2024-04-12,成都,食品生鲜,1663.18,2,现金,1.0
U000211,2024-12-31,深圳,电子产品,842.72,8,银行卡,3.0
U000212,2024-06-08,成都,美妆护肤,983.89,2,支付宝,4.0
U000213,2024-07-23,成都,美妆护肤,938.5,4,支付宝,4.0
U000214,2024-12-09,重庆,服装鞋帽,862.85,1,银行卡,5.0
U000215,2024-11-28,深圳,美妆护肤,621.18,5,现金,2.0
U000216,2024-07-10,上海,家居用品,889.74,9,微信支付,3.0
U000217,2024-08-12,深圳,食品生鲜,506.79,1,银行卡,5.0
U000218,2024-09-21,广州,服装鞋帽,640.8,9,银行卡,
U000219,2024-08-19,杭州,美妆护肤,578.66,8,支付宝,
U000220,2024-03-02,成都,美妆护肤,720.47,6,银行卡,4.0
U000221,2024-05-06,成都,电子产品,1278.66,7,支付宝,
U000222,2024-04-25,成都,服装鞋帽,233.18,3,银行卡,4.0
U000223,2024-02-02,重庆,服装鞋帽,871.57,1,银行卡,5.0
U000224,2024-06-22,重庆,服装鞋帽,296.82,5,微信支付,1.0
U000225,2024-01-11,深圳,家居用品,582.02,2,支付宝,5.0
U000226,2024-10-28,重庆,电子产品,972.24,5,银行卡,2.0
U000227,2024-10-10,杭州,美妆护肤,716.07,8,现金,1.0
U000228,2024-04-27,杭州,服装鞋帽,430.56,9,现金,
U000229,2024-10-28,北京,电子产品,521.17,2,现金,
U000230,2024-04-22,深圳,美妆护肤,869.9,3,支付宝,4.0
U000231,2024-01-04,重庆,家居用品,517.41,3,银行卡,2.0
U000232,2024-02-06,上海,美妆护肤,754.11,1,银行卡,3.0
U000233,2024-12-28,上海,美妆护肤,711.39,8,支付宝,2.0
U000234,2024-11-19,广州,家居用品,537.1,6,微信支付,2.0
U000235,2024-01-31,深圳,美妆护肤,1235.99,8,现金,3.0
U000236,2024-04-27,广州,美妆护肤,858.48,9,微信支付,5.0
U000237,2024-02-04,重庆,家居用品,193.71,5,现金,5.0
U000238,2024-01-17,上海,服装鞋帽,746.61,3,支付宝,2.0
U000239,2024-06-18,重庆,美妆护肤,534.55,5,现金,3.0
U000240,2024-02-06,广州,服装鞋帽,913.11,5,支付宝,3.0
U000241,2024-09-20,成都,电子产品,501.87,5,微信支付,4.0
U000242,2024-05-01,深圳,服装鞋帽,671.32,3,现金,5.0
U000243,2024-05-22,成都,家居用品,826.25,4,银行卡,1.0
U000244,2024-12-08,北京,家居用品,916.44,9,银行卡,5.0
U000245,2024-09-05,重庆,家居用品,399.93,9,银行卡,5.0
U000246,2024-04-19,上海,电子产品,616.37,2,银行卡,4.0
U000247,2024-10-03,北京,电子产品,581.26,8,银行卡,1.0
U000248,2024-03-08,重庆,家居用品,536.67,8,现金,4.0
U000249,2024-10-19,北京,电子产品,1141.36,7,银行卡,1.0
U000250,2024-10-22,北京,家居用品,801.25,8,银行卡,2.0
U000251,2024-08-30,上海,电子产品,384.78,3,支付宝,1.0
U000252,2024-05-04,成都,服装鞋帽,929.47,6,支付宝,4.0
U000253,2024-08-30,杭州,电子产品,1230.54,1,银行卡,5.0
U000254,2024-07-27,上海,美妆护肤,958.12,7,银行卡,1.0
U000255,2024-04-07,深圳,服装鞋帽,320.16,1,现金,1.0
U000256,2024-02-18,北京,食品生鲜,578.94,9,银行卡,3.0
U000257,2024-02-19,重庆,服装鞋帽,1016.73,1,支付宝,5.0
U000258,2024-12-03,深圳,家居用品,523.08,1,微信支付,2.0
U000259,2024-08-08,上海,美妆护肤,810.95,7,银行卡,4.0
U000260,2024-06-30,广州,服装鞋帽,893.66,2,现金,2.0
U000261,2024-08-04,杭州,食品生鲜,468.27,5,银行卡,5.0
U000262,2024-07-29,重庆,服装鞋帽,685.12,8,现金,1.0
U000263,2024-08-27,成都,电子产品,110.32,8,现金,1.0
U000264,2024-01-28,成都,美妆护肤,443.9,3,支付宝,5.0
U000265,2024-12-10,上海,美妆护肤,636.86,7,支付宝,1.0
U000266,2024-11-30,广州,美妆护肤,388.05,3,现金,1.0
U000267,2024-11-26,杭州,服装鞋帽,1108.1,6,现金,1.0
U000268,2024-02-20,重庆,美妆护肤,342.46,6,现金,4.0
U000269,2024-02-01,杭州,美妆护肤,589.99,3,支付宝,4.0
U000270,2024-07-25,重庆,食品生鲜,732.69,7,银行卡,3.0
U000271,2024-06-22,广州,电子产品,1060.32,3,银行卡,2.0
U000272,2024-02-25,重庆,家居用品,341.03,8,微信支付,5.0
U000273,2024-05-07,上海,服装鞋帽,990.79,4,现金,5.0
U000274,2024-04-08,杭州,家居用品,702.56,1,现金,5.0
U000275,2024-04-07,成都,家居用品,454.62,4,银行卡,3.0
U000276,2024-10-01,上海,服装鞋帽,815.53,7,微信支付,4.0
U000277,2024-08-17,杭州,美妆护肤,749.76,4,支付宝,3.0
U000278,2024-03-12,广州,食品生鲜,549.95,6,支付宝,5.0
U000279,2024-08-04,杭州,电子产品,717.45,9,银行卡,2.0
U000280,2024-04-03,成都,服装鞋帽,603.67,1,现金,
U000281,2024-05-22,成都,服装鞋帽,728.38,5,支付宝,4.0
U000282,2024-08-24,深圳,电子产品,865.53,7,微信支付,4.0
U000283,2024-05-07,北京,服装鞋帽,1096.5,1,微信支付,3.0
U000284,2024-02-08,深圳,家居用品,390.55,4,现金,4.0
U000285,2024-08-14,杭州,服装鞋帽,1233.26,6,银行卡,5.0
U000286,2024-10-08,北京,服装鞋帽,211.98,2,银行卡,5.0
U000287,2024-02-20,杭州,家居用品,662.05,5,支付宝,3.0
U000288,2024-01-26,北京,服装鞋帽,847.08,1,支付宝,5.0
U000289,2024-11-29,广州,家居用品,770.25,6,支付宝,2.0
U000290,2024-10-03,深圳,食品生鲜,544.33,6,微信支付,3.0
U000291,2024-01-08,深圳,家居用品,647.97,4,银行卡,2.0
U000292,2024-02-17,广州,美妆护肤,576.75,8,现金,1.0
U000293,2024-05-01,重庆,服装鞋帽,552.66,4,支付宝,2.0
U000294,2024-03-26,深圳,家居用品,912.4,8,现金,1.0
U000295,2024-07-27,上海,家居用品,789.25,8,现金,1.0
U000296,2024-09-05,上海,家居用品,526.77,5,现金,2.0
U000297,2024-09-03,深圳,食品生鲜,924.9,4,现金,3.0
U000298,2024-04-19,杭州,家居用品,776.82,2,微信支付,5.0
U000299,2024-07-24,杭州,家居用品,903.22,3,微信支付,5.0
U000300,2024-01-31,重庆,电子产品,857.41,3,微信支付,1.0
U000301,2024-03-25,成都,电子产品,492.75,4,微信支付,1.0
U000302,2024-07-13,深圳,电子产品,559.95,4,支付宝,3.0
U000303,2024-01-02,成都,美妆护肤,886.82,5,支付宝,4.0
U000304,2024-07-18,杭州,电子产品,852.59,4,微信支付,2.0
U000305,2024-05-15,广州,服装鞋帽,694.77,8,支付宝,1.0
U000306,2024-08-20,上海,食品生鲜,729.33,6,银行卡,5.0
U000307,2024-05-26,重庆,服装鞋帽,1019.42,6,微信支付,3.0
U000308,2024-08-04,上海,服装鞋帽,552.11,8,支付宝,2.0
U000309,2024-12-22,深圳,美妆护肤,836.77,7,支付宝,
U000310,2024-10-11,成都,家居用品,649.45,8,现金,2.0
U000311,2024-12-04,深圳,食品生鲜,645.58,2,微信支付,2.0
U000312,2024-09-06,杭州,食品生鲜,974.69,9,现金,1.0
U000313,2024-03-20,广州,家居用品,906.35,1,现金,3.0
U000314,2024-04-07,深圳,美妆护肤,903.38,8,微信支付,3.0
U000315,2024-05-31,广州,家居用品,1026.37,4,银行卡,5.0
U000316,2024-04-21,深圳,美妆护肤,705.25,4,现金,5.0
U000317,2024-01-30,广州,家居用品,870.49,5,支付宝,1.0
U000318,2024-10-23,上海,美妆护肤,622.43,8,支付宝,1.0
U000319,2024-10-04,上海,服装鞋帽,781.04,5,支付宝,4.0
U000320,2024-02-01,杭州,家居用品,667.46,8,现金,5.0
U000321,2024-06-09,重庆,服装鞋帽,724.25,1,银行卡,2.0
U000322,2024-01-30,深圳,食品生鲜,848.79,9,微信支付,3.0
U000323,2024-01-26,深圳,服装鞋帽,495.44,6,现金,1.0
U000324,2024-10-26,上海,服装鞋帽,1223.1,3,支付宝,3.0
U000325,2024-09-01,上海,美妆护肤,448.5,8,支付宝,3.0
U000326,2024-09-14,广州,服装鞋帽,396.45,9,支付宝,4.0
U000327,2024-09-28,深圳,美妆护肤,989.53,6,银行卡,5.0
U000328,2024-03-21,上海,家居用品,897.92,7,银行卡,1.0
U000329,2024-01-30,深圳,电子产品,856.03,1,支付宝,3.0
U000330,2024-09-17,杭州,服装鞋帽,857.09,5,现金,1.0
U000331,2024-02-11,深圳,美妆护肤,696.94,5,微信支付,2.0
U000332,2024-04-05,北京,美妆护肤,475.69,4,银行卡,4.0
U000333,2024-02-05,广州,美妆护肤,718.95,6,银行卡,2.0
U000334,2024-10-31,广州,电子产品,530.71,7,银行卡,1.0
U000335,2024-02-04,上海,服装鞋帽,943.78,9,银行卡,1.0
U000336,2024-12-11,杭州,家居用品,663.24,1,微信支付,5.0
U000337,2024-04-30,广州,美妆护肤,493.63,6,支付宝,3.0
U000338,2024-07-25,深圳,电子产品,619.65,7,微信支付,3.0
U000339,2024-03-02,广州,服装鞋帽,803.23,3,银行卡,
U000340,2024-10-18,重庆,美妆护肤,559.07,8,支付宝,4.0
U000341,2024-05-06,深圳,家居用品,494.44,5,银行卡,3.0
U000342,2024-10-23,广州,服装鞋帽,760.92,9,银行卡,5.0
U000343,2024-10-31,深圳,美妆护肤,761.24,5,微信支付,2.0
U000344,2024-01-21,广州,食品生鲜,573.26,9,现金,2.0
U000345,2024-11-13,上海,食品生鲜,582.24,4,银行卡,5.0
U000346,2024-02-11,成都,美妆护肤,758.01,9,现金,4.0
U000347,2024-08-02,广州,服装鞋帽,337.98,5,银行卡,5.0
U000348,2024-12-02,成都,家居用品,348.13,9,支付宝,4.0
U000349,2024-10-25,重庆,家居用品,520.39,3,现金,5.0
U000350,2024-10-16,杭州,食品生鲜,646.64,4,支付宝,5.0
U000351,2024-09-24,上海,服装鞋帽,777.73,9,微信支付,1.0
U000352,2024-06-10,成都,美妆护肤,1068.84,6,微信支付,2.0
U000353,2024-05-13,上海,美妆护肤,914.41,2,银行卡,5.0
U000354,2024-04-14,杭州,食品生鲜,660.02,7,微信支付,
U000355,2024-12-08,成都,家居用品,695.25,2,支付宝,3.0
U000356,2024-06-09,杭州,电子产品,449.37,2,支付宝,2.0
U000357,2024-05-02,重庆,美妆护肤,695.37,1,银行卡,3.0
U000358,2024-05-15,成都,电子产品,627.84,3,支付宝,2.0
U000359,2024-07-21,广州,服装鞋帽,780.68,6,银行卡,3.0
U000360,2024-03-08,广州,家居用品,493.19,8,现金,5.0
U000361,2024-12-09,广州,食品生鲜,829.84,9,支付宝,5.0
U000362,2024-11-26,杭州,电子产品,1083.18,7,微信支付,1.0
U000363,2024-06-02,北京,服装鞋帽,672.81,4,微信支付,3.0
U000364,2024-08-22,北京,电子产品,800.43,6,银行卡,4.0
U000365,2024-06-10,北京,食品生鲜,872.54,5,现金,1.0
U000366,2024-02-07,广州,电子产品,599.69,8,银行卡,3.0
U000367,2024-01-05,重庆,电子产品,756.02,1,现金,3.0
U000368,2024-08-22,杭州,食品生鲜,703.15,1,微信支付,
U000369,2024-11-14,成都,服装鞋帽,724.42,6,支付宝,5.0
U000370,2024-10-15,北京,食品生鲜,506.75,2,支付宝,3.0
U000371,2024-02-21,北京,食品生鲜,706.13,5,银行卡,5.0
U000372,2024-02-07,上海,服装鞋帽,824.5,1,现金,1.0
U000373,2024-10-02,深圳,家居用品,1062.79,7,支付宝,5.0
U000374,2024-04-19,广州,家居用品,939.82,1,支付宝,2.0
U000375,2024-09-16,重庆,美妆护肤,1238.3,4,现金,4.0
U000376,2024-05-15,上海,家居用品,508.16,9,现金,3.0
U000377,2024-03-08,重庆,服装鞋帽,918.08,1,微信支付,4.0
U000378,2024-06-27,北京,家居用品,745.84,4,微信支付,5.0
U000379,2024-02-05,北京,电子产品,1247.45,6,微信支付,3.0
U000380,2024-05-05,深圳,美妆护肤,497.93,6,现金,5.0
U000381,2024-07-08,杭州,美妆护肤,490.07,8,微信支付,2.0
U000382,2024-05-25,杭州,食品生鲜,550.15,1,支付宝,1.0
U000383,2024-03-21,上海,电子产品,169.03,7,银行卡,3.0
U000384,2024-08-12,成都,家居用品,568.56,1,微信支付,2.0
U000385,2024-10-05,重庆,食品生鲜,510.22,7,现金,2.0
U000386,2024-12-26,北京,美妆护肤,737.6,3,支付宝,3.0
U000387,2024-06-03,上海,服装鞋帽,785.44,8,银行卡,5.0
U000388,2024-11-09,深圳,电子产品,1169.04,3,微信支付,2.0
U000389,2024-11-30,广州,电子产品,937.61,1,现金,4.0
U000390,2024-09-27,杭州,家居用品,555.77,8,微信支付,2.0
U000391,2024-01-05,杭州,食品生鲜,475.4,3,微信支付,5.0
U000392,2024-12-07,成都,家居用品,822.98,2,微信支付,5.0
U000393,2024-10-10,广州,服装鞋帽,369.94,1,现金,4.0
